id,name,muscleGroup,exerciseType,defaultSets,defaultReps,defaultDuration,durationUnit,defaultWeight,startingWeightNote,tutorialVideoUrl,instructionPhotos,thumbnailPhotoIndex,instructions
torso-rotation-on-all-fours-from-head-to-neck,Torso rotation on all fours from head to neck,Full body,stretch,3,,30,sec,,6-8 reps on each side,,/exercise-photos/torso-rotation-on-all-fours-from-head-to-neck/1.jpg | /exercise-photos/torso-rotation-on-all-fours-from-head-to-neck/2.jpg,0,"Target area: mobility of the thoracic spine

One hand behind the head, rotate the elbow upwards. Try to keep a stable pelvis. Suitable for pressures and pulls."
side-bows-with-a-foam-roller-pressed-under-the-chest,Side bows with a foam roller pressed under the chest,Full body,stretch,3,,30,sec,,6-8 bows to each side,,/exercise-photos/side-bows-with-a-foam-roller-pressed-under-the-chest/1.jpg,0,"Target area: mobility of the thoracic spine

The roller fixes the chest - the movement comes from the torso. It helps to open the chest and improve the lateral bending of the spine. Breathe into the ribs, keep the center of the body active."
trunk-rotation-in-a-deep-squat-2,Trunk rotation in a deep squat,Full body,stretch,3,,30,sec,,5-6 reps on each side,,,,"Target area: Mobility of the thoracic spine and hips

It combines spine rotation and hip mobility. Make sure your heels stay on the ground. Follow the upper arm with your eyes, don't bend your hips. Excellent for squats, presses and pull-ups."
stretching-forearms-on-all-fours,Stretching forearms on all fours,Full body,stretch,3,,20.0,sec,,20-30 seconds,,/exercise-photos/stretching-forearms-on-all-fours/1.jpg | /exercise-photos/stretching-forearms-on-all-fours/2.jpg,0,"The wrists are often neglected, but in functional training and exercises with your own weight (push-ups, planks, pull-ups, presses) they carry a large load.
If their mobility is limited, there is an overload of the joints, compensation in the elbows, shoulders or cervical spine.

🔎 What wrist mobility brings:

✋Improve comfort and range when leaning on your palms
✋ It will reduce the risk of pain and joint overload
✋Enables safer execution of exercises on the ground (e.g. push-ups, planks)
✋Supports grip strength and work with a barbell, barbell or kettlebell

➡️ Include before upper body training, when working with your own weight or as part of preparation for handstands / gymnastics.

Target area: wrist mobility

The backs of the hands on the mat, gently push the elbows down. A slow, passive pull on the back of the wrist and forearm. Don't pull, it shouldn't hurt."
stretching-in-false-grip,Stretching in false grip,Full body,stretch,3,,20.0,sec,,20-30 seconds,,/exercise-photos/stretching-in-false-grip/1.jpg | /exercise-photos/stretching-in-false-grip/2.jpg,0,"Target area: wrist mobility

Suitable as a preparation for push-ups, pull-ups or exercises on circles. Wrists slightly bent, palms weighted. Keep your shoulders steady."
kneeling-wrist-extension-palms-turned-with-fingers-towards-the-body,Kneeling wrist extension - palms turned with fingers towards the body,Full body,stretch,3,,20.0,sec,,20-30 seconds,,/exercise-photos/kneeling-wrist-extension-palms-turned-with-fingers-towards-the-body/1.jpg | /exercise-photos/kneeling-wrist-extension-palms-turned-with-fingers-towards-the-body/2.jpg,0,"Target area: wrist mobility

A gentle pull on the wrist flexors. She pushed her torso back – the weight moves the body, not the wrist directly. Make sure your palms don't come off."
transferring-weight-to-the-sides,Transferring weight to the sides,Full body,stretch,3,,30,sec,,8-10 reps on each side,,/exercise-photos/transferring-weight-to-the-sides/1.jpg | /exercise-photos/transferring-weight-to-the-sides/2.jpg,0,"Target area: wrist mobility

Active exercise - dynamically transfer your body weight from one hand to the other. It will improve the natural load tolerance and get the joint fluid flowing."
denial-of-the-fist-mobility-of-the-wrist-extensors,"Denial of the fist, Mobility of the wrist extensors",Full body,stretch,3,,30,sec,,8-10 slow weight transfers,,/exercise-photos/denial-of-the-fist-mobility-of-the-wrist-extensors/1.jpg | /exercise-photos/denial-of-the-fist-mobility-of-the-wrist-extensors/2.jpg,0,"Target area: wrist mobility

Close your fists, the backs of your wrists facing down. She hunched her shoulders slightly over her hands. Releases tension in the upper part of the forearms (extensors)."
denial-of-the-fist-mobility-of-the-wrist-extensors-2,"Denial of the fist, Mobility of the wrist extensors",Full body,stretch,3,,30,sec,,8-10 slow weight transfers,,,,"Target area: wrist mobility

Active mobilization. Lean your body slightly forward/backward when pushing. Keep your fists firm, the movement should come from your body, not your wrists. Also great as a prevention during strength training."
breathing-while-lying-on-your-back-with-your-legs-bent,Breathing while lying on your back with your legs bent,Core,core,3,6-10,,,,6-10 deep breaths,,/exercise-photos/breathing-while-lying-on-your-back-with-your-legs-bent/1.jpg,0,"The core is not just the ""abdomen"", but the entire complex of muscles around the spine, ribs, pelvis and loins. It acts as a natural stabilizer that protects the spine and transfers power between the upper and lower body.

If the center of the body is inactive:

🧍‍♀️ It's harder to maintain the correct technique (e.g. in a squat or deadlift)
🧍‍♀️The body will compensate in the hips, hips or shoulders
🧍‍♀️The risk of overload or injury will increase

🌬️ Breathing activation exercises will improve the connection with the deep stabilization system (diaphragm, pelvic floor, deep abdominal muscles) and prepare the body for performance.

✅ When to activate the center of the body?
- After warm-up and mobility
- Before the main part of the training
- Or as part of a regular routine for back pain

Target area: Activating the center of the body

Place your hands on your lower ribs. During inhalation, the ribs open to the sides, exhalation activates the deep abdominal muscles. Basic breath activation (diaphragm + deep core)."
breath-activation-while-lying-on-the-stomach-crocodile-breath,Breath activation while lying on the stomach - crocodile breath,Core,core,3,6-10,,,,6-10 breath cycles,,/exercise-photos/breath-activation-while-lying-on-the-stomach-crocodile-breath/1.jpg,0,"Target area: Activating the center of the body

Feel the breath in your belly against the mat. A great way to engage the diaphragm."
position-of-the-child-with-breathing-to-the-hips,Position of the child with breathing to the hips,Core,core,3,3-5,,,,3-5 breath cycles on each side,,/exercise-photos/position-of-the-child-with-breathing-to-the-hips/1.jpg,0,"Target area: Core + Chest Mobility + Trunk Fascia

From the child's position, move the body to the side, extend the arms to the side. Inhale purposefully into your ribs and side, release tension with your exhale. Great at the end of activation or before an upper body workout."
walking-on-all-fours-bear-walk,"Walking on all fours, Bear walk",Core,core,2,10-15,,,,2x10-15 steps forward/backward,,/exercise-photos/walking-on-all-fours-bear-walk/1.jpg,0,"Target area: Activation + core stability

A more demanding stabilization exercise. Palms under the shoulders, knees under the hips - slow, smooth movement. Keep the tension in the abdomen and do not sag in the hips."
dead-bug,Dead bug,Core,core,3,6-8,,,,6-8 reps on each side,,/exercise-photos/dead-bug/1.jpg,0,"Target area: Activating the deep center of the body

Arms and legs at right angles, slowly lower the opposite arm and leg. Keep your hips pressed into the mat. Slowly, exhaling as you start."
active-rebellion-on-all-fours,Active rebellion on all fours,Core,core,3,,20.0,sec,,3×20–30 s,,/exercise-photos/active-rebellion-on-all-fours/1.jpg,0,"Target area: Core stability + strength

Palms under the shoulders, knees just above the ground. The whole body is active - shoulders, core, pelvis. Perfect before training with body weight or dumbbells."
pressure-of-the-palms-against-the-knees-on-the-back-activation-of-the-deep-abdomen-in-the-beetle-position,"Pressure of the palms against the knees on the back, Activation of the deep abdomen in the beetle position",Core,core,3,,20.0,sec,,3×20 s static pressure,,/exercise-photos/pressure-of-the-palms-against-the-knees-on-the-back-activation-of-the-deep-abdomen-in-the-beetle-position/1.jpg,0,"Target area: Activating the center of the body

Hands and knees push against each other - no movement. Exhale to activate the abdominal wall. Also suitable for beginners and clients with back pain."
toe-fat-from-without-lifting-arms,Toe Fat (from - without lifting arms),Core,core,3,6-8,,,,6-8 reps each leg,,/exercise-photos/toe-fat-from-without-lifting-arms/1.jpg,0,"Target area: Activating the center of the body

Hands fixed, lower your legs alternately and lightly ""tap"" the toe on the ground. Don't stick your hips out. Excellent for mastering tension in the core."
lifting-limbs-on-all-fours-superman-arms-and-legs,"Lifting limbs on all fours, Superman - arms and legs",Core,core,3,6-8,,,,6-8 reps each side,,,,"Target area: Activating the center of the body

From a position on all fours, lift the opposite arm and leg. Pay attention to a stable pelvis, do not bend at the hips. Deep core and balance activation."
crate-squat,Crate squat,Legs,squat,3,10,,,,"Beginner, complete",,/exercise-photos/crate-squat/1.jpg | /exercise-photos/crate-squat/2.jpg,0,"What is it:
Movements such as squatting and lunging are among the basic human movement patterns. We use them every day – when getting up from a chair, lifting objects, walking up stairs or getting up from a squat.

✅ Why include them in training:
Develops the strength of the lower half of the body (thighs, buttocks, calves)
🏋️ They improve the stability of knees and hips
🏋️ They support coordination, mobility and balance
🏋️ They help prevent injuries (especially knees and back)
🏋️ It teaches the body to manage the load in different levels of movement

🔁 What they affect:
🏋️Strength and volume of the muscles of the lower limbs
🏋️ Mobility and mobility of hips, knees and ankles
🏋️Postural stability and posture
🏋️Ability to handle functional load in everyday life

📌 Suitable for beginners and advanced, they can be easily adapted to individual fitness (e.g. using TRX, support, or adding weight).

⚠️ What to watch out for when performing a squat:

⚠️ Foot position:
The toes point slightly outwards, the feet remain in contact with the ground all the time (including the thumb, little finger and heel).
⚠️ Knees:
They follow the direction of the tips - they do not sink in (valgus). In the lunge, the knee does not go beyond the toe significantly forward.
⚠️ Pan:
Do not lean or lean too much. The pelvis is neutral - we don't slouch, but we don't bend at the hips either.
⚠️ Back:
Keep your back straight, your core active, your head in an extension of your spine - don't look up or down.
⚠️ Squat depth:
The squat should be as deep as the mobility of the hips and ankles will allow. Quality is preferred over quantity.
⚠️ Breathing:
Inhale before moving, exhale when lifting up. Don't hold your breath.
⚠️ Pace:
Keep a controlled pace. You don't fall down, but you walk consciously and steadily.

Muscles worked: Quadriceps, glutes, hamstrings, core

Level: Beginner, complete

Great for practicing proper range of motion, helps maintain control"
squats-with-trx,Squats with TRX,Legs,squat,3,10,,,,"Beginner, complete",,/exercise-photos/squats-with-trx/1.jpg | /exercise-photos/squats-with-trx/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: Beginner, complete

It helps to stabilize the movement and strengthen the technique"
so-far-on-one-leg,So far on one leg,Legs,squat,3,10,,,,"Beginner, complete",,/exercise-photos/so-far-on-one-leg/1.jpg,0,"Muscles worked: Quadriceps, glutes, hamstrings

Level: Beginner, complete

Beginning of training on one leg, strengthens stability"
sit-by-the-wall,Sit by the wall,Legs,squat,3,10,,,,"Beginner, complete",,/exercise-photos/sit-by-the-wall/1.jpg | /exercise-photos/sit-by-the-wall/2.jpg,0,"Muscles worked: Quadriceps, isometric activation of the buttocks

Level: Beginner, complete

Great at the end of training, activation without movement"
wall-squat-hack-with-a-ball,Wall Squat Hack with a Ball,Legs,squat,3,10,,,,Beginner,,/exercise-photos/wall-squat-hack-with-a-ball/1.jpg | /exercise-photos/wall-squat-hack-with-a-ball/2.jpg,0,"Muscles worked: Quadriceps, glutes

Level: Beginner

It allows good range and stability"
goblet-squat,Goblet squat,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/goblet-squat/1.jpg | /exercise-photos/goblet-squat/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: from Beginner to every level

Excellent for learning proper weight technique"
sumo-goblet-squat,Sumo goblet squat,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/sumo-goblet-squat/1.jpg,0,"Muscles worked: Buttocks, inner thighs, core

Level: from Beginner to every level

Suitable for limited ankle mobility"
lunges-while-walking,Lunges while walking,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/lunges-while-walking/1.jpg,0,"Muscles worked: Quadriceps, glutes, hamstrings, core

Level: from Beginner to every level

Coordination more demanding, improves balance"
lunges-forward-without-walking,Lunges forward without walking,Legs,squat,3,10,,,,,,/exercise-photos/lunges-forward-without-walking/1.jpg,0,Perform Lunges forward without walking with controlled form.
back-lunges,Back lunges,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/back-lunges/1.jpg | /exercise-photos/back-lunges/2.jpg,0,"Muscles worked: Buttocks, hamstrings

Level: from Beginner to every level

More gentle on the knees than classic forward lunges"
leg-press,Leg press,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/leg-press/1.jpg | /exercise-photos/leg-press/2.jpg,0,"Muscles worked: Quadriceps, glutes

Level: from Beginner to every level

Machine - safe to start with heavier loads"
leg-press-with-one-leg,Leg press with one leg,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/leg-press-with-one-leg/1.jpg,0,"Muscles worked: Quadriceps, glutes

Level: from Beginner to every level

Machine - safe to start with heavier loads"
back-lunges-crosswise,Back lunges crosswise,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/back-lunges-crosswise/1.jpg | /exercise-photos/back-lunges-crosswise/2.jpg,0,"Muscles worked: Glutes, quadriceps, obliques

Level: from Beginner to every level

Great for pelvic stability and glute activation"
backward-lunges-with-weight-support,Backward lunges with weight support,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/backward-lunges-with-weight-support/1.jpg | /exercise-photos/backward-lunges-with-weight-support/2.jpg,0,"Muscles worked: Glutes, quadriceps, obliques

Level: from Beginner to every level

Great for pelvic stability and glute activation"
lunges-to-the-side-with-weights,Lunges to the side with weights,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/lunges-to-the-side-with-weights/1.jpg | /exercise-photos/lunges-to-the-side-with-weights/2.jpg,0,"Muscles worked: Inner and outer thighs, buttocks

Level: from Beginner to every level

Develops strength in other planes of motion"
squat-machine-hack,Squat Machine Hack,Legs,squat,3,10,,,,from Beginner to every level,,/exercise-photos/squat-machine-hack/1.jpg | /exercise-photos/squat-machine-hack/2.jpg,0,"Muscles worked: Quadriceps, glutes, hamstrings

Level: from Beginner to every level

Suitable for maintaining technique and greater load on the lower limbs"
squats-on-one-leg-with-support-e-g-trx,Squats on one leg with support (e.g. TRX),Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/squats-on-one-leg-with-support-e-g-trx/1.jpg | /exercise-photos/squats-on-one-leg-with-support-e-g-trx/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: from Intermediate to every level

Excellent for developing balance and single leg strength"
bulgarian-squat,Bulgarian squat,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/bulgarian-squat/1.jpg | /exercise-photos/bulgarian-squat/2.jpg,0,"Muscles worked: Quadriceps, glutes, hamstrings

Level: from Intermediate to every level

Excellent for unilateral lower limb training"
jump-squats,Jump squats,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/jump-squats/1.jpg,0,"Muscles worked: Quadriceps, glutes, calves

Level: from Intermediate to every level

Explosive power, dynamics, excellent for HIIT"
jump-lunges-2,Jump lunges,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/jump-lunges-2/1.jpg | /exercise-photos/jump-lunges-2/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: from Intermediate to every level

Explosiveness, coordination, cardio effect"
